1,1,acima,-9.639983926846698
1,1,abaixo,-9.641430105864638
1,1,direita,-9.646074108869614
1,1,esquerda,-9.641522258123995
1,2,acima,-8.982325740322732
1,2,abaixo,-9.05168591625037
1,2,direita,-9.08376985264045
1,2,esquerda,-9.08026018723691
1,3,acima,71.17172700099721
1,3,abaixo,71.1754947997149
1,3,direita,82.42078808183638
1,3,esquerda,71.17578592843759
2,1,acima,-9.719699285855464
2,1,abaixo,-9.747718168873279
2,1,direita,-9.745274495679606
2,1,esquerda,-9.74154844312189
2,3,acima,-7.942363277126425
2,3,abaixo,-7.896243591083944
2,3,direita,-17.066151968005425
2,3,esquerda,-7.971274757943166
3,1,acima,-9.758405646050138
3,1,abaixo,-9.777211141039599
3,1,direita,-9.772697934340112
3,1,esquerda,-9.763493805024245
3,2,acima,-9.529826346056268
3,2,abaixo,-9.55886790556172
3,2,direita,-9.519523394214396
3,2,esquerda,-9.55696329316298
3,3,acima,-8.25625056209105
3,3,abaixo,-8.279415141420856
3,3,direita,-8.285052527706348
3,3,esquerda,-8.22572104894922
3,4,acima,-16.124682232423204
3,4,abaixo,-7.1242272230027925
3,4,direita,-7.133589225211445
3,4,esquerda,-6.8748957060957245
